t,o,h,l,c,v
1724512260,353953.90837620,353953.90837620,353927.90890378,353927.90890378,0.00140627
1724512320,353853.90888752,353853.90888753,353853.90888752,353853.90888753,0.00014631
1724512380,353840.05582345,353841.84179190,353235.34000000,353235.34000000,0.03542253
1724512440,353245.35000000,353840.67454226,353245.35000000,353840.67454226,0.00003310
1724512560,353794.13590026,353795.80590026,353749.64493234,353749.64493234,0.00038040
1724512620,353733.31749943,353733.31749943,353682.60805752,353682.60805752,0.00069123
1724512680,353682.60805752,353682.60805752,353677.60805753,353677.60805753,0.00002496
1724512740,353740.10707929,353740.10707929,353668.09499673,353736.77707928,0.00052683
1724512800,353639.68450584,353725.07560221,353242.01000001,353720.07560221,0.01955563
1724512860,353720.07560221,353825.96759348,353248.69000000,353248.69000000,0.00004815
1724512920,353766.33308683,353766.33308683,353255.36000000,353701.94360519,0.00573963
1724512980,353688.52931479,353699.18459686,353688.52931479,353699.18459686,0.00015032
1724513040,353695.54852321,353695.54852321,353690.54852322,353690.54852322,0.03746687
1724513100,353262.03000001,353722.60086505,353262.03000001,353722.60086505,0.00370767
1724513160,353722.60086505,353722.60086505,353722.60086505,353722.60086505,0.00423290
1724513220,353789.56303748,353789.56303748,353586.06315502,353612.29191601,0.04902751
1724513280,353608.46685125,353608.46685125,353481.64749927,353481.64749927,0.00063561
1724513340,353315.40000000,353315.40000001,353315.40000000,353315.40000001,0.00656150
1724513400,353315.40000001,353315.40000001,353315.40000000,353315.40000000,0.00161834
1724513460,352934.44052754,352995.67336519,352934.44052754,352995.67336519,0.00215973
1724513520,353432.67995997,353460.93372993,353002.38000000,353441.79207439,0.02232661
1724513640,353373.18375015,353373.18375015,353373.18375015,353373.18375015,0.00219958
1724513700,353436.42930038,353436.42930038,353385.35450693,353385.35450693,0.00007558
1724513760,353312.43591114,353312.43591114,353059.06000003,353308.03480873,0.01152437
1724513820,353219.47000001,353264.58978620,353219.47000001,353264.58978620,0.00091475
1724513880,353264.58978619,353264.58978619,352530.64000017,353258.92642739,0.03398712
1724513940,353252.66531334,353252.66531334,353248.34962575,353248.34962575,0.00007453
1724514000,353301.05607881,353301.05607881,352806.17972103,353126.25029376,0.01510158
1724514060,353116.26029371,353116.26029371,352952.31740681,352952.31740681,0.00111748
1724514120,353112.93029367,353112.93029367,352972.29740688,353099.61029364,0.00029172
1724514180,352952.40000001,352952.40000001,352952.40000001,352952.40000001,0.00000812
1724514240,353014.85798391,353014.85798391,352994.76666452,353008.09938561,0.01185899
1724514300,353018.30912907,353210.63626558,353018.30912907,353210.63626558,0.02874693
1724514360,353162.02217038,353162.02217038,353020.29264045,353026.95264047,0.00030079
1724514420,353045.16970816,353048.49970817,353045.16970816,353048.49970817,0.00055647
1724514480,353026.95000004,353026.95000004,353020.29000001,353026.95000004,0.01540761
1724514540,353135.54884272,353164.88999998,353102.91535171,353102.91535171,0.02866441
1724514600,353102.91535174,353102.91535174,353102.91535174,353102.91535174,0.00001109
1724514660,353023.62000002,353035.31994949,353023.62000002,353035.31994948,0.00048466
1724514720,353035.31994949,353035.31994949,353035.31994948,353035.31994948,0.00046067
1724514780,353248.40999975,353248.40999975,353245.07999974,353245.07999974,0.00002438
1724514840,353238.41999972,353238.41999972,353035.31994950,353035.31994951,0.00303891
1724514900,352955.73000000,352955.73000001,352952.40000001,352952.40000001,0.01179425
1724514960,353184.14366543,353184.14366543,352955.73000003,352955.73000003,0.00090245
1724515020,352955.72999999,353328.93458905,352955.72999999,353328.93458905,0.00260664
1724515080,353221.84330532,353221.84330532,353221.84330532,353221.84330532,0.00000392
1724515200,353170.12718857,353170.12718857,353168.07556020,353170.12718856,0.00002192
1724515260,353254.83362136,353258.16362136,353254.83362136,353256.94123691,0.01012337
1724515320,353300.70675191,353327.90535568,353300.70675191,353327.90535568,0.00327416
1724515380,353300.70675199,353300.70675199,353283.57811317,353283.57811317,0.00416598
1724515440,353152.92005715,353263.78968809,353152.92005715,353263.78968809,0.00029297
1724515500,353266.58867296,353266.58867296,353266.37441825,353266.58867296,0.00040623
1724515560,353266.37441825,353266.58867296,353266.37441824,353266.58867296,0.01638628
1724515620,353266.37441825,353266.58867296,353266.37441823,353266.58867296,0.03286659
1724515680,353317.91201073,353401.82362971,353317.91201073,353401.82362971,0.02428125
1724515740,353393.43483372,353448.91084275,353392.60408192,353448.91084275,0.00018929
1724515800,353445.58084274,353445.58084274,353430.13559928,353430.13559928,0.00181531
1724515860,353430.13559929,353524.94791007,353430.13559928,353503.44935694,0.06448964
1724515920,353501.75183747,353501.75183747,353430.13559930,353430.13559930,0.04299829
1724515980,353483.93804182,353483.93804182,353036.96433740,353036.96433740,0.00947865
1724516040,353045.44531385,353303.35999993,353045.44531385,353162.50961339,0.00312625
1724516220,353108.25598189,353310.93224993,353108.25598189,353310.93224993,0.00103823
1724516280,353331.94382679,353429.38349949,353331.94382679,353429.38349949,0.00015341
1724516340,353426.05349948,353533.16891986,353426.05349948,353533.16891986,0.00269298
1724516400,353533.16891986,353533.16891986,353477.99435739,353477.99435739,0.00063856
1724516460,353614.84339436,353614.84339436,353312.53000015,353470.90871655,0.08520062
1724516520,353472.60608791,353472.60608791,353472.60608791,353472.60608791,0.00832352
1724516580,353470.90871655,353470.90871655,353470.90871655,353470.90871655,0.00203083
1724516640,353472.60608791,353715.24497603,353472.60608791,353711.91497603,0.02712174
1724516700,353711.91497602,353746.21743183,353534.19000021,353742.88743183,0.01810770
1724516760,353727.89704251,353727.89704251,353567.51000006,353567.51000006,0.00064073
1724516820,353742.70845731,354066.12000000,353739.37845730,354066.12000000,0.04775723
1724516880,354129.48283931,354129.48283932,353627.45000026,354129.48283932,0.00167446
1724516940,354129.48283932,354185.00000000,354129.48283932,354185.00000000,0.38614162
1724517000,354031.50339662,354068.38467086,354030.73207422,354068.38467086,0.00022696
1724517060,354068.38467085,354068.38467085,354068.38467085,354068.38467085,0.00036640
